Target,Prediction,Type of Error,ML Model,Raw Message,Converted Message
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",tddnewslett game thedailydraw dear helen dozen free game great prizeswith
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",I am in tirupur.  call you da.,tirupur call da
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ever notic drive anyon go slower idiot everyon drive faster maniac
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entri weekli competit text word win 80086 18 c
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc 1 win150ppmx3age16
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",free messag activ 500 free text messag repli messag word free term condit visit
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",Ok then i'll let him noe later n ask him call u tmr...,ok let noe later n ask call u tmr
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Ringtone Club: Gr8 new polys direct to your mobile every week !,rington club gr8 new poli direct mobil everi week
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",I am in office:)whats the matter..msg me now.i will call you at break:).,offic what matter msg call break
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,xma iscom ur award either cd gift voucher free entri 2 r weekli draw txt music 87066 tnc
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,burger king wan na play footi top stadium get 2 burger king 1st sept go larg super walk winner
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),1000 girl mani local 2 u r virgin 2 r readi 2 4fil ur everi sexual need u 4fil text cute 69911
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",gr8 poli tone 4 mob direct 2u rpli poli titl 8007 eg poli breathe1 titl crazyin sleepingwith finest ymca pobox365o4w45wq 300p
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care 07821230901
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",ur chanc win cash everi wk txt action c custcar 08712405022
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,hard live 121 chat choos girl connect live call 09094646899 cheap chat uk biggest live servic vu bcm1896wc1n3xx
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)","I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",sppok ur mob halloween collect nokia logo pic messag plu free eeri tone txt card spook 8007
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)","Text me when you get off, don't call, my phones having problems",text get call phone problem
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,repli name address receiv post week complet free accommod variou global locat
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,freemsg hi babi wow got new cam mobi wan na c hot pic fanci chat im w8in 4utxt rpli chat 82242 hlp 08712317606 msg150p 2rcv
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",orang bring rington time chart hero free hit week go rington pic wap stop receiv tip repli stop
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free rington wait collect simpli text password 85069 verifi get usher britney fml
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)","The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",guy car shop flirt got phone number paperwork call text nervou cours may address call boss tell know may get fire
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,lyricalladi invit friend repli see stop send stop frnd 62468
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",May i call You later Pls,may call later pl
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ok darlin supos ok worri film stuff mate babysit call
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",Customer place i will call you.,custom place call
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",themob hit link get premium pink panther game new 1 sugabab crazi zebra anim badass hoodi 4 free
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",Hi.:)technical support.providing assistance to us customer through call and email:),hi technic assist us custom call email
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)","Sir, i am waiting for your call, once free please call me.",sir wait call free pleas call
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",hi 2night ur lucki night uve invit 2 xchat uk wildest chat txt chat 86688 ldn 18yr
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,hi chachi tri call u unabl reach u pl give miss cal u c tiz msg kanagu
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,wamma get laid want real doggin locat sent direct mobil join uk largest dog network txt dog 69696 nyt ec2a 3lp
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)","FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",free game get rayman golf 4 free o2 game arcad 1st get ur game set repli post save activ8 press 0 key arcad termsappli
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,free 1st week no1 nokia tone 4 ur mob everi week txt nokia 8007 get txting tell ur mate pobox 36504 w45wq
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",I am waiting machan. Call me once you free.,wait machan call free
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,sexi singl wait text age follow gender wither f gay men text age follow
Ham,Spam,False Positive,"KMeans(n_clusters=2, n_init=10, random_state=20)",I dont thnk its a wrong calling between us,dont thnk wrong call us
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod txt one name 89693 08715500022 rpl stop 2 cnl
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,warner villag 83118 c colin farrel swat wkend warner villag get 1 free med popcorn show c c kiosk repli soni 4 mre film offer
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,eastend tv quiz flower dot compar violet tulip lili txt e f 84025 4 chanc 2 win cash
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,ur tonex subscript renew charg choos 10 poli month bill msg
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,show ur colour euro 2004 offer get england flag 3lion tone ur phone click follow servic messag info
Spam,Ham,False Negative,"KMeans(n_clusters=2, n_init=10, random_state=20)",Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,marvel mobil play offici ultim game ur mobil right text spider 83338 game send u free 8ball wallpap
